 Vbg, Id_Vjg=-1.5V, Id_Vjg=-1.25V, Id_Vjg=-1V, Id_Vjg=-0.75V, Id_Vjg=-0.5V, Id_Vjg=-0.25V, Id_Vjg=0V
-20,-4.65E-12,5.03E-12,-1.76E-12,1.01E-11,-1.22E-11,2.86E-10,1.62E-09
-19.95,-1.99E-11,1.87E-11,-2.18E-11,1.77E-11,6.21E-11,3.34E-10,1.66E-09
-19.9,3.87E-11,-4.14E-11,3.82E-11,-3.85E-11,1.11E-11,2.95E-10,1.64E-09
-19.85,-3.81E-11,3.52E-11,-3.64E-11,3.73E-11,1.28E-11,2.69E-10,1.60E-09
-19.8,6.67E-12,-1.65E-11,9.98E-12,-1.68E-11,6.07E-11,3.70E-10,1.55E-09
-19.75,1.46E-11,-1.26E-11,1.25E-11,-8.04E-12,-1.13E-11,2.88E-10,1.49E-09
-19.7,-4.22E-11,3.39E-11,-3.87E-11,3.70E-11,4.85E-11,3.22E-10,1.49E-09
-19.65,3.54E-11,-3.66E-11,3.51E-11,-3.54E-11,1.22E-11,3.34E-10,1.59E-09
-19.6,-1.26E-11,1.31E-11,-2.38E-11,6.62E-12,9.49E-12,2.83E-10,1.58E-09
-19.55,-1.60E-11,1.65E-11,-7.48E-12,2.36E-11,6.57E-11,3.16E-10,1.70E-09
-19.5,3.91E-11,-3.90E-11,3.72E-11,-3.59E-11,-6.12E-12,3.11E-10,1.70E-09
-19.45,-3.50E-11,2.63E-11,-3.65E-11,2.15E-11,2.58E-11,3.02E-10,1.31E-09
-19.4,-4.98E-12,7.71E-12,2.38E-11,2.71E-12,6.51E-11,3.76E-10,1.61E-09
-19.35,3.42E-11,-3.86E-11,2.43E-12,-2.41E-11,-9.69E-12,3.38E-10,1.55E-09
-19.3,-3.81E-11,3.53E-11,-2.72E-11,3.83E-11,3.36E-11,2.85E-10,1.49E-09
-19.25,1.85E-12,-4.83E-12,3.37E-11,-3.31E-11,5.11E-11,3.74E-10,1.58E-09
-19.2,2.74E-11,-3.11E-11,-3.39E-11,6.96E-12,-8.13E-12,3.57E-10,1.68E-09
-19.15,-3.80E-11,3.40E-11,2.31E-12,1.81E-11,4.43E-11,2.93E-10,1.48E-09
-19.1,9.38E-12,-2.67E-11,1.38E-11,-4.06E-11,4.24E-11,3.52E-10,1.63E-09
-19.05,2.10E-11,-1.23E-12,-3.91E-11,3.27E-11,-1.34E-11,2.88E-10,1.48E-09
-19,-3.57E-11,2.23E-11,3.20E-11,1.20E-12,5.80E-11,3.25E-10,1.60E-09
-18.95,2.25E-11,-3.85E-11,-2.83E-12,-3.23E-11,2.96E-11,2.90E-10,1.70E-09
-18.9,-3.40E-13,3.45E-11,-2.07E-11,3.68E-11,-9.08E-12,2.66E-10,1.52E-09
-18.85,-2.41E-11,-7.12E-12,3.82E-11,-2.83E-11,6.27E-11,3.13E-10,1.71E-09
-18.8,3.58E-11,-2.56E-11,-3.59E-11,8.10E-13,2.06E-11,2.68E-10,1.70E-09
-18.75,-3.49E-11,3.30E-11,2.95E-11,2.37E-11,3.80E-13,2.72E-10,1.52E-09
-18.7,1.06E-12,-2.77E-11,-1.25E-11,-3.93E-11,6.08E-11,3.16E-10,1.66E-09
-18.65,1.96E-11,-4.42E-12,-2.33E-11,3.55E-11,7.60E-12,2.38E-10,1.51E-09
-18.6,-3.93E-11,2.81E-11,3.58E-11,-7.10E-12,1.06E-11,3.12E-10,1.58E-09
-18.55,3.36E-11,-3.77E-11,-3.39E-11,-1.81E-11,6.41E-11,2.85E-10,1.53E-09
-18.5,-5.45E-12,3.36E-11,4.30E-12,3.91E-11,-5.20E-12,2.55E-10,1.49E-09
-18.45,-1.99E-11,-2.71E-12,1.94E-11,-3.55E-11,2.05E-11,3.21E-10,1.50E-09
-18.4,3.88E-11,-1.74E-11,-3.96E-11,8.80E-12,6.19E-11,2.43E-10,1.41E-09
-18.35,-3.75E-11,3.88E-11,3.16E-11,1.86E-11,-9.90E-12,2.78E-10,1.47E-09
-18.3,8.63E-12,-3.75E-11,-1.13E-11,-3.78E-11,5.91E-11,2.71E-10,1.42E-09
-18.25,1.49E-11,1.68E-11,-2.21E-11,3.54E-11,2.85E-11,2.39E-10,1.37E-09
-18.2,-4.10E-11,7.00E-13,3.63E-11,-1.58E-12,-7.98E-12,3.10E-10,1.45E-09
-18.15,3.48E-11,-3.45E-11,-3.68E-11,-2.95E-11,6.45E-11,2.90E-10,1.38E-09
-18.1,-1.27E-11,3.71E-11,2.96E-12,3.62E-11,-1.03E-12,2.51E-10,1.46E-09
-18.05,-1.54E-11,-3.67E-11,2.21E-11,-3.26E-11,2.87E-11,3.12E-10,1.35E-09
-18,3.93E-11,1.11E-11,-3.82E-11,7.99E-12,4.83E-11,2.64E-10,1.36E-09
-17.95,-3.53E-11,1.18E-11,3.52E-11,2.09E-11,-1.30E-11,2.92E-10,1.41E-09
-17.9,5.27E-12,-3.66E-11,-8.85E-12,-3.97E-11,6.56E-11,2.97E-10,1.35E-09
-17.85,2.27E-11,3.49E-11,-1.68E-11,3.75E-11,1.79E-11,2.49E-10,1.48E-09
-17.8,-3.69E-11,-2.85E-11,3.75E-11,-1.61E-11,1.99E-11,3.04E-10,1.37E-09
-17.75,2.32E-11,-3.69E-12,-3.80E-11,-6.07E-12,6.62E-11,2.43E-10,1.35E-09
-17.7,1.53E-12,2.09E-11,1.34E-11,3.42E-11,-7.74E-12,2.63E-10,1.38E-09
-17.65,-3.16E-11,-4.01E-11,1.63E-11,-3.70E-11,5.63E-11,3.04E-10,1.35E-09
-17.6,3.58E-11,3.51E-11,-3.96E-11,2.76E-11,3.28E-11,2.30E-10,1.34E-09
